EPOCH=001,Accuracy= 64.700%
EPOCH=002,Accuracy= 75.530%
EPOCH=003,Accuracy= 78.900%
EPOCH=004,Accuracy= 81.690%
EPOCH=005,Accuracy= 83.880%
EPOCH=006,Accuracy= 84.300%
EPOCH=007,Accuracy= 86.360%
EPOCH=008,Accuracy= 87.480%
EPOCH=009,Accuracy= 87.080%
EPOCH=010,Accuracy= 85.200%
EPOCH=011,Accuracy= 88.860%
EPOCH=012,Accuracy= 88.560%
EPOCH=013,Accuracy= 88.670%
EPOCH=014,Accuracy= 88.490%
EPOCH=015,Accuracy= 89.560%
EPOCH=016,Accuracy= 89.200%
EPOCH=017,Accuracy= 89.370%
EPOCH=018,Accuracy= 89.660%
EPOCH=019,Accuracy= 89.920%
EPOCH=020,Accuracy= 89.810%
EPOCH=021,Accuracy= 89.860%
EPOCH=022,Accuracy= 90.200%
EPOCH=023,Accuracy= 90.110%
EPOCH=024,Accuracy= 90.210%
EPOCH=025,Accuracy= 90.000%
EPOCH=026,Accuracy= 89.760%
EPOCH=027,Accuracy= 90.660%
EPOCH=028,Accuracy= 90.910%
EPOCH=029,Accuracy= 91.380%
EPOCH=030,Accuracy= 90.860%
EPOCH=031,Accuracy= 90.790%
EPOCH=032,Accuracy= 89.860%
EPOCH=033,Accuracy= 90.860%
EPOCH=034,Accuracy= 90.940%
EPOCH=035,Accuracy= 90.860%
EPOCH=036,Accuracy= 89.420%
EPOCH=037,Accuracy= 91.370%
EPOCH=038,Accuracy= 90.290%
EPOCH=039,Accuracy= 91.010%
EPOCH=040,Accuracy= 91.190%
EPOCH=041,Accuracy= 91.320%
EPOCH=042,Accuracy= 91.140%
EPOCH=043,Accuracy= 91.750%
EPOCH=044,Accuracy= 90.700%
EPOCH=045,Accuracy= 91.660%
EPOCH=046,Accuracy= 91.660%
EPOCH=047,Accuracy= 91.350%
EPOCH=048,Accuracy= 91.640%
EPOCH=049,Accuracy= 90.920%
EPOCH=050,Accuracy= 91.490%
