001  02500 |Loss: 1.365 | Acc: 50.000% 
002  05000 |Loss: 0.861 | Acc: 69.000% 
003  07500 |Loss: 0.670 | Acc: 76.000% 
004  10000 |Loss: 0.560 | Acc: 80.000% 
005  12500 |Loss: 0.492 | Acc: 83.000% 
006  15000 |Loss: 0.438 | Acc: 85.000% 
007  17500 |Loss: 0.395 | Acc: 86.000% 
008  20000 |Loss: 0.357 | Acc: 87.000% 
009  22500 |Loss: 0.327 | Acc: 88.000% 
010  25000 |Loss: 0.300 | Acc: 89.000% 
011  27500 |Loss: 0.280 | Acc: 90.000% 
012  30000 |Loss: 0.257 | Acc: 91.000% 
013  32500 |Loss: 0.243 | Acc: 91.000% 
014  35000 |Loss: 0.224 | Acc: 92.000% 
015  37500 |Loss: 0.212 | Acc: 92.000% 
016  40000 |Loss: 0.198 | Acc: 93.000% 
017  42500 |Loss: 0.183 | Acc: 93.000% 
018  45000 |Loss: 0.174 | Acc: 94.000% 
019  47500 |Loss: 0.167 | Acc: 94.000% 
020  50000 |Loss: 0.158 | Acc: 94.000% 
021  52500 |Loss: 0.146 | Acc: 95.000% 
022  55000 |Loss: 0.139 | Acc: 95.000% 
023  57500 |Loss: 0.134 | Acc: 95.000% 
024  60000 |Loss: 0.127 | Acc: 95.000% 
025  62500 |Loss: 0.119 | Acc: 95.000% 
026  65000 |Loss: 0.112 | Acc: 96.000% 
027  67500 |Loss: 0.113 | Acc: 96.000% 
028  70000 |Loss: 0.104 | Acc: 96.000% 
029  72500 |Loss: 0.103 | Acc: 96.000% 
030  75000 |Loss: 0.097 | Acc: 96.000% 
031  77500 |Loss: 0.093 | Acc: 96.000% 
032  80000 |Loss: 0.086 | Acc: 97.000% 
033  82500 |Loss: 0.086 | Acc: 97.000% 
034  85000 |Loss: 0.085 | Acc: 97.000% 
035  87500 |Loss: 0.080 | Acc: 97.000% 
036  90000 |Loss: 0.076 | Acc: 97.000% 
037  92500 |Loss: 0.075 | Acc: 97.000% 
038  95000 |Loss: 0.072 | Acc: 97.000% 
039  97500 |Loss: 0.075 | Acc: 97.000% 
040  100000 |Loss: 0.070 | Acc: 97.000% 
041  102500 |Loss: 0.066 | Acc: 97.000% 
042  105000 |Loss: 0.067 | Acc: 97.000% 
043  107500 |Loss: 0.066 | Acc: 97.000% 
044  110000 |Loss: 0.060 | Acc: 98.000% 
045  112500 |Loss: 0.058 | Acc: 98.000% 
046  115000 |Loss: 0.058 | Acc: 98.000% 
047  117500 |Loss: 0.057 | Acc: 98.000% 
048  120000 |Loss: 0.056 | Acc: 98.000% 
049  122500 |Loss: 0.051 | Acc: 98.000% 
050  125000 |Loss: 0.056 | Acc: 98.000% 
