EPOCH=001,Accuracy= 61.620%
EPOCH=002,Accuracy= 73.290%
EPOCH=003,Accuracy= 77.040%
EPOCH=004,Accuracy= 78.920%
EPOCH=005,Accuracy= 81.600%
EPOCH=006,Accuracy= 81.240%
EPOCH=007,Accuracy= 82.700%
EPOCH=008,Accuracy= 81.700%
EPOCH=009,Accuracy= 83.880%
EPOCH=010,Accuracy= 84.960%
EPOCH=011,Accuracy= 85.100%
EPOCH=012,Accuracy= 85.920%
EPOCH=013,Accuracy= 86.240%
EPOCH=014,Accuracy= 86.170%
EPOCH=015,Accuracy= 86.790%
EPOCH=016,Accuracy= 87.170%
EPOCH=017,Accuracy= 86.690%
EPOCH=018,Accuracy= 87.340%
EPOCH=019,Accuracy= 88.350%
EPOCH=020,Accuracy= 88.710%
EPOCH=021,Accuracy= 88.550%
EPOCH=022,Accuracy= 88.320%
EPOCH=023,Accuracy= 88.660%
EPOCH=024,Accuracy= 88.510%
EPOCH=025,Accuracy= 89.040%
EPOCH=026,Accuracy= 88.260%
EPOCH=027,Accuracy= 88.660%
EPOCH=028,Accuracy= 88.840%
EPOCH=029,Accuracy= 89.080%
EPOCH=030,Accuracy= 89.640%
EPOCH=031,Accuracy= 89.110%
EPOCH=032,Accuracy= 89.380%
EPOCH=033,Accuracy= 88.360%
EPOCH=034,Accuracy= 89.410%
EPOCH=035,Accuracy= 89.940%
EPOCH=036,Accuracy= 88.960%
EPOCH=037,Accuracy= 88.880%
EPOCH=038,Accuracy= 89.530%
EPOCH=039,Accuracy= 89.760%
EPOCH=040,Accuracy= 90.440%
EPOCH=041,Accuracy= 89.850%
EPOCH=042,Accuracy= 89.810%
EPOCH=043,Accuracy= 90.200%
EPOCH=044,Accuracy= 88.920%
EPOCH=045,Accuracy= 89.370%
EPOCH=046,Accuracy= 89.650%
EPOCH=047,Accuracy= 89.630%
EPOCH=048,Accuracy= 89.880%
EPOCH=049,Accuracy= 88.830%
EPOCH=050,Accuracy= 89.870%
