001  02500 |Loss: 1.441 | Acc: 47.000% 
002  05000 |Loss: 0.979 | Acc: 65.000% 
003  07500 |Loss: 0.800 | Acc: 72.000% 
004  10000 |Loss: 0.693 | Acc: 76.000% 
005  12500 |Loss: 0.615 | Acc: 79.000% 
006  15000 |Loss: 0.559 | Acc: 80.000% 
007  17500 |Loss: 0.515 | Acc: 82.000% 
008  20000 |Loss: 0.472 | Acc: 84.000% 
009  22500 |Loss: 0.442 | Acc: 84.000% 
010  25000 |Loss: 0.416 | Acc: 85.000% 
011  27500 |Loss: 0.388 | Acc: 86.000% 
012  30000 |Loss: 0.370 | Acc: 87.000% 
013  32500 |Loss: 0.346 | Acc: 88.000% 
014  35000 |Loss: 0.326 | Acc: 88.000% 
015  37500 |Loss: 0.309 | Acc: 89.000% 
016  40000 |Loss: 0.298 | Acc: 89.000% 
017  42500 |Loss: 0.284 | Acc: 90.000% 
018  45000 |Loss: 0.274 | Acc: 90.000% 
019  47500 |Loss: 0.256 | Acc: 91.000% 
020  50000 |Loss: 0.251 | Acc: 91.000% 
021  52500 |Loss: 0.240 | Acc: 91.000% 
022  55000 |Loss: 0.229 | Acc: 92.000% 
023  57500 |Loss: 0.226 | Acc: 92.000% 
024  60000 |Loss: 0.213 | Acc: 92.000% 
025  62500 |Loss: 0.205 | Acc: 93.000% 
026  65000 |Loss: 0.195 | Acc: 93.000% 
027  67500 |Loss: 0.193 | Acc: 93.000% 
028  70000 |Loss: 0.186 | Acc: 93.000% 
029  72500 |Loss: 0.177 | Acc: 93.000% 
030  75000 |Loss: 0.174 | Acc: 94.000% 
031  77500 |Loss: 0.164 | Acc: 94.000% 
032  80000 |Loss: 0.162 | Acc: 94.000% 
033  82500 |Loss: 0.159 | Acc: 94.000% 
034  85000 |Loss: 0.152 | Acc: 94.000% 
035  87500 |Loss: 0.149 | Acc: 94.000% 
036  90000 |Loss: 0.142 | Acc: 95.000% 
037  92500 |Loss: 0.141 | Acc: 95.000% 
038  95000 |Loss: 0.136 | Acc: 95.000% 
039  97500 |Loss: 0.133 | Acc: 95.000% 
040  100000 |Loss: 0.132 | Acc: 95.000% 
041  102500 |Loss: 0.124 | Acc: 95.000% 
042  105000 |Loss: 0.121 | Acc: 95.000% 
043  107500 |Loss: 0.122 | Acc: 95.000% 
044  110000 |Loss: 0.116 | Acc: 96.000% 
045  112500 |Loss: 0.117 | Acc: 96.000% 
046  115000 |Loss: 0.115 | Acc: 96.000% 
047  117500 |Loss: 0.113 | Acc: 96.000% 
048  120000 |Loss: 0.110 | Acc: 96.000% 
049  122500 |Loss: 0.104 | Acc: 96.000% 
050  125000 |Loss: 0.104 | Acc: 96.000% 
