EPOCH=001,Accuracy= 15.210%
EPOCH=002,Accuracy= 24.330%
EPOCH=003,Accuracy= 31.010%
EPOCH=004,Accuracy= 34.910%
EPOCH=005,Accuracy= 39.900%
EPOCH=006,Accuracy= 47.030%
EPOCH=007,Accuracy= 49.870%
EPOCH=008,Accuracy= 51.870%
EPOCH=009,Accuracy= 54.000%
EPOCH=010,Accuracy= 55.010%
EPOCH=011,Accuracy= 56.740%
EPOCH=012,Accuracy= 57.090%
EPOCH=013,Accuracy= 59.150%
EPOCH=014,Accuracy= 60.760%
EPOCH=015,Accuracy= 59.230%
EPOCH=016,Accuracy= 60.310%
EPOCH=017,Accuracy= 61.970%
EPOCH=018,Accuracy= 61.400%
EPOCH=019,Accuracy= 61.210%
EPOCH=020,Accuracy= 62.360%
EPOCH=021,Accuracy= 64.290%
EPOCH=022,Accuracy= 64.260%
EPOCH=023,Accuracy= 63.280%
EPOCH=024,Accuracy= 63.870%
EPOCH=025,Accuracy= 64.710%
EPOCH=026,Accuracy= 63.550%
EPOCH=027,Accuracy= 65.820%
EPOCH=028,Accuracy= 64.420%
EPOCH=029,Accuracy= 65.230%
EPOCH=030,Accuracy= 64.850%
EPOCH=031,Accuracy= 66.630%
EPOCH=032,Accuracy= 66.210%
EPOCH=033,Accuracy= 67.130%
EPOCH=034,Accuracy= 65.780%
EPOCH=035,Accuracy= 66.080%
EPOCH=036,Accuracy= 65.090%
EPOCH=037,Accuracy= 67.290%
EPOCH=038,Accuracy= 66.220%
EPOCH=039,Accuracy= 66.030%
EPOCH=040,Accuracy= 65.990%
EPOCH=041,Accuracy= 66.190%
EPOCH=042,Accuracy= 65.730%
EPOCH=043,Accuracy= 66.400%
EPOCH=044,Accuracy= 65.940%
EPOCH=045,Accuracy= 67.310%
EPOCH=046,Accuracy= 66.780%
EPOCH=047,Accuracy= 67.090%
EPOCH=048,Accuracy= 66.800%
EPOCH=049,Accuracy= 66.180%
EPOCH=050,Accuracy= 65.900%
EPOCH=051,Accuracy= 66.590%
EPOCH=052,Accuracy= 66.910%
EPOCH=053,Accuracy= 67.000%
EPOCH=054,Accuracy= 67.320%
EPOCH=055,Accuracy= 67.280%
EPOCH=056,Accuracy= 66.910%
EPOCH=057,Accuracy= 66.800%
EPOCH=058,Accuracy= 66.660%
EPOCH=059,Accuracy= 67.060%
EPOCH=060,Accuracy= 66.860%
EPOCH=061,Accuracy= 67.300%
EPOCH=062,Accuracy= 66.630%
EPOCH=063,Accuracy= 67.230%
EPOCH=064,Accuracy= 66.790%
EPOCH=065,Accuracy= 67.090%
EPOCH=066,Accuracy= 67.310%
EPOCH=067,Accuracy= 66.630%
EPOCH=068,Accuracy= 67.010%
EPOCH=069,Accuracy= 67.230%
EPOCH=070,Accuracy= 66.850%
EPOCH=071,Accuracy= 67.520%
EPOCH=072,Accuracy= 67.880%
EPOCH=073,Accuracy= 67.510%
EPOCH=074,Accuracy= 67.860%
EPOCH=075,Accuracy= 67.060%
EPOCH=076,Accuracy= 67.700%
EPOCH=077,Accuracy= 67.970%
EPOCH=078,Accuracy= 67.710%
EPOCH=079,Accuracy= 67.720%
EPOCH=080,Accuracy= 67.370%
