001  00782 |Loss: 3.934 | Acc: 9.000% 
002  01564 |Loss: 3.309 | Acc: 19.000% 
003  02346 |Loss: 2.876 | Acc: 27.000% 
004  03128 |Loss: 2.513 | Acc: 34.000% 
005  03910 |Loss: 2.220 | Acc: 41.000% 
006  04692 |Loss: 1.992 | Acc: 45.000% 
007  05474 |Loss: 1.809 | Acc: 50.000% 
008  06256 |Loss: 1.669 | Acc: 53.000% 
009  07038 |Loss: 1.548 | Acc: 56.000% 
010  07820 |Loss: 1.442 | Acc: 59.000% 
011  08602 |Loss: 1.356 | Acc: 61.000% 
012  09384 |Loss: 1.275 | Acc: 63.000% 
013  10166 |Loss: 1.201 | Acc: 65.000% 
014  10948 |Loss: 1.135 | Acc: 66.000% 
015  11730 |Loss: 1.078 | Acc: 68.000% 
016  12512 |Loss: 1.016 | Acc: 70.000% 
017  13294 |Loss: 0.965 | Acc: 71.000% 
018  14076 |Loss: 0.916 | Acc: 72.000% 
019  14858 |Loss: 0.878 | Acc: 73.000% 
020  15640 |Loss: 0.828 | Acc: 74.000% 
021  16422 |Loss: 0.792 | Acc: 75.000% 
022  17204 |Loss: 0.747 | Acc: 76.000% 
023  17986 |Loss: 0.716 | Acc: 77.000% 
024  18768 |Loss: 0.677 | Acc: 79.000% 
025  19550 |Loss: 0.645 | Acc: 79.000% 
026  20332 |Loss: 0.622 | Acc: 80.000% 
027  21114 |Loss: 0.586 | Acc: 81.000% 
028  21896 |Loss: 0.567 | Acc: 82.000% 
029  22678 |Loss: 0.542 | Acc: 82.000% 
030  23460 |Loss: 0.511 | Acc: 83.000% 
031  24242 |Loss: 0.488 | Acc: 84.000% 
032  25024 |Loss: 0.469 | Acc: 84.000% 
033  25806 |Loss: 0.455 | Acc: 85.000% 
034  26588 |Loss: 0.439 | Acc: 85.000% 
035  27370 |Loss: 0.416 | Acc: 86.000% 
036  28152 |Loss: 0.410 | Acc: 86.000% 
037  28934 |Loss: 0.381 | Acc: 87.000% 
038  29716 |Loss: 0.368 | Acc: 87.000% 
039  30498 |Loss: 0.354 | Acc: 88.000% 
040  31280 |Loss: 0.342 | Acc: 88.000% 
041  32062 |Loss: 0.328 | Acc: 89.000% 
042  32844 |Loss: 0.321 | Acc: 89.000% 
043  33626 |Loss: 0.315 | Acc: 89.000% 
044  34408 |Loss: 0.303 | Acc: 90.000% 
045  35190 |Loss: 0.299 | Acc: 90.000% 
046  35972 |Loss: 0.282 | Acc: 90.000% 
047  36754 |Loss: 0.272 | Acc: 91.000% 
048  37536 |Loss: 0.270 | Acc: 91.000% 
049  38318 |Loss: 0.251 | Acc: 91.000% 
050  39100 |Loss: 0.257 | Acc: 91.000% 
051  39882 |Loss: 0.248 | Acc: 91.000% 
052  40664 |Loss: 0.235 | Acc: 92.000% 
053  41446 |Loss: 0.231 | Acc: 92.000% 
054  42228 |Loss: 0.233 | Acc: 92.000% 
055  43010 |Loss: 0.219 | Acc: 92.000% 
056  43792 |Loss: 0.212 | Acc: 92.000% 
057  44574 |Loss: 0.213 | Acc: 92.000% 
058  45356 |Loss: 0.201 | Acc: 93.000% 
059  46138 |Loss: 0.201 | Acc: 93.000% 
060  46920 |Loss: 0.195 | Acc: 93.000% 
061  47702 |Loss: 0.193 | Acc: 93.000% 
062  48484 |Loss: 0.193 | Acc: 93.000% 
063  49266 |Loss: 0.189 | Acc: 93.000% 
064  50048 |Loss: 0.172 | Acc: 94.000% 
065  50830 |Loss: 0.186 | Acc: 93.000% 
066  51612 |Loss: 0.174 | Acc: 94.000% 
067  52394 |Loss: 0.176 | Acc: 94.000% 
068  53176 |Loss: 0.169 | Acc: 94.000% 
069  53958 |Loss: 0.162 | Acc: 94.000% 
070  54740 |Loss: 0.157 | Acc: 94.000% 
071  55522 |Loss: 0.162 | Acc: 94.000% 
072  56304 |Loss: 0.164 | Acc: 94.000% 
073  57086 |Loss: 0.156 | Acc: 94.000% 
074  57868 |Loss: 0.152 | Acc: 94.000% 
075  58650 |Loss: 0.150 | Acc: 94.000% 
076  59432 |Loss: 0.142 | Acc: 95.000% 
077  60214 |Loss: 0.146 | Acc: 95.000% 
078  60996 |Loss: 0.138 | Acc: 95.000% 
079  61778 |Loss: 0.143 | Acc: 95.000% 
080  62560 |Loss: 0.139 | Acc: 95.000%
